Date_Number,Begin_Time(UTC),Begin_Year,Begin_Month,Begin_Day,Begin_Time,Flare_Date_Number,Flare_Max(UTC),Flare_Month,Flare_Day,Flare_Time,Max_Date_Number,Max_Time(UTC),Max_Year,Max_Month,Max_Day,Max_Time,Flare_Level,>10MeV_Max(pfu)
19990604,1999 06/04 0925,1999,06,04,0925,199906040703,2B 06/04 0703,06,04,0703,199906041055,1999 06/04 1055,1999,06,04,1055,M3,64
20000218,2000 02/18 1115,2000,02,18,1115,,,,,,200002181215,2000 02/18 1215,2000,02,18,1215,NA,13
20000404,2000 04/04 2055,2000,04,04,2055,200004041541,2F 04/04 1541,04,04,1541,200004050930,2000 04/05 0930,2000,04,05,0930,C9,55
20000607,2000 06/07 1310,2000,06,07,1310,200006061525,3B 06/06 1525,06,06,1525,200006080940,2000 06/08 0940,2000,06,08,0940,X2,84
20000610,2000 06/10 1805,2000,06,10,1805,200006101702,3B 06/10 1702,06,10,1702,200006102045,2000 06/10 2045,2000,06,10,2045,M5,46
20000714,2000 07/14 1045,2000,07,14,1045,200007141024,3B 07/14 1024,07,14,1024,200007151230,2000 07/15 1230,2000,07,15,1230,X5,24000
20000722,2000 07/22 1320,2000,07,22,1320,200007221114,2N 07/22 1114,07,22,1114,200007221405,2000 07/22 1405,2000,07,22,1405,M3,17
20000728,2000 07/28 0520,2000,07,28,0520,,,,,,200007280655,2000 07/28 0655,2000,07,28,0655,NA,21
20000811,2000 08/11 1650,2000,08,11,1650,200008091647,SF 08/09 1647,08,09,1647,200008111655,2000 08/11 1655,2000,08,11,1655,C2,17
20000912,2000 09/12 1605,2000,09,12,1605,200009121213,2F 09/12 1213,09,12,1213,200009130340,2000 09/13 0340,2000,09,13,0340,M1,321
20001016,2000 10/16 1110,2000,10,16,1110,200010161139,N/A 10/16 1139,10,16,1139,200010161840,2000 10/16 1840,2000,10,16,1840,M2,15
20001026,2000 10/26 0040,2000,10,26,0040,200010251125,N/A 10/25 1125,10,25,1125,200010260340,2000 10/26 0340,2000,10,26,0340,C4,15
20001108,2000 11/08 2350,2000,11,08,2350,200011082328,3F 11/08 2328,11,08,2328,200011091555,2000 11/09 1555,2000,11,09,1555,M7,14800
20001124,2000 11/24 1600,2000,11,24,1600,200011241513,2B 11/24 1513,11,24,1513,200011242120,2000 11/24 2120,2000,11,24,2120,X2,93
20001125,2000 11/25 2340,2000,11,25,2340,200011250131,2N 11/25 0131,11,25,0131,200011261715,2000 11/26 1715,2000,11,26,1715,M8,591
20001126,2000 11/26 1845,2000,11,26,1845,200011261648,2B 11/26 1648,11,26,1648,200011262030,2000 11/26 2030,2000,11,26,2030,X4,942
20010418,2001 04/18 0315,2001,04,18,0315,200104180314,N/A 04/18 0314,04,18,0314,200104181045,2001 04/18 1045,2001,04,18,1045,C2,32
20010428,2001 04/28 0430,2001,04,28,0430,200104261312,2N 04/26 1312,04,26,1312,200104280500,2001 04/28 0500,2001,04,28,0500,M7,57
20010615,2001 06/15 1750,2001,06,15,1750,,,,,,200106160005,2001 06/16 0005,2001,06,16,0005,NA,26
