Begin_Time(UTC),Max_Time(UTC),>10MeV_Max(pfu),Region,Location,Flare_Max(UTC),Flare_Level,Type_II_Radio_Emission,Type_IV,Linear_Speed,Imagery/Misc
2001 11/04 1705,2001 11/06 0215,"31,700",9684,N06W18,3B 11/04 1620,X1,Yes,Yes,1329 km/s,C2
2001 11/19 1050,2001 11/20 0010,34,9704,S13E42,1N 11/17 0525,M2,Yes,Yes,1379 km/s,C2
2001 11/22 2320,2001 11/24 0555,"18,900",9704,S15W34,2N 11/22 2330,M9,Yes,Yes,1437 km/s,C2 EIT
2001 12/26 0605,2001 12/26 1115,779,9742,N08W54,1B 12/26 0540,M7,Yes,Yes,1446 km/s,C2
2001 12/29 0510,2001 12/29 0815,76,9742,N08W54,1B 12/26 0540,M7,Yes,Yes,1446 km/s,C2
2001 12/30 2135,2001 12/31 1620,108,9767,S23E90,N/A 12/28 2045,X3,Yes,No,2216 km/s,C2
2002 01/10 2015,2002 01/11 0530,91,NA,S00E90,N/A 01/08 2025,C9,No,No,1794 km/s,C2
2002 01/15 1110,2002 01/15 2000,15,9767,S18W90,N/A 01/14 0627,M4,Yes,No,1492 km/s,C2
2002 02/20 0730,2002 02/20 0755,13,9825,N12W72,1N 02/20 0612,M5,Yes,Yes,952 km/s,C2
2002 03/17 0820,2002 03/17 0850,13,9866,S08W03,1F 03/15 2312,M2,No,Yes,957 km/s,C2
2002 03/18 1300,2002 03/19 0650,53,9870,S15W22,SF 03/18 0231,M1,No,Yes,989 km/s,C2
2002 03/20 1515,2002 03/20 1525,19,9870,S15W22,SF 03/18 0231,M1,No,Yes,989 km/s,C2
2002 03/22 2020,2002 03/23 1320,16,9866,S09W90,N/A 03/22 1113,M1,No,No,1750 km/s,C2
2002 04/17 1530,2002 04/17 1540,24,9906,S13W37,2N 04/17 0824,M2,Yes,Yes,1240 km/s,C2
2002 04/21 0225,2002 04/21 2320,"2,520",9906,S13W37,1F 04/21 0151,X1,Yes,Yes,2393 km/s,C2
2002 05/22 1755,2002 05/23 1055,820,NA,S22W53,SF 05/22 0349,C5,No,No,1557 km/s,C2
2002 07/07 1830,2002 07/07 1955,22,10017,S19W100,N/A 07/07 1143,M1,No,No,1329 km/s,C2
2002 07/16 1750,2002 07/17 1600,234,10030,N19W01,3B 07/15 2008,X3,No,Yes,1151 km/s,C2
2002 07/22 0625,2002 07/23 1025,28,10039,S12E90,N/A 07/20 2130,X3,Yes,No,1941 km/s,C2
2002 08/14 0900,2002 08/14 1620,26,10061,N09W54,1N 08/14 0212,M2,Yes,No,1309 km/s,C2
